# X, Y, Z
69.71 328.70 492.06
89.56 328.70 488.09
109.41 328.70 484.23
129.27 328.70 480.58
149.12 328.70 476.76
168.97 328.70 472.81
188.82 328.70 467.50
208.68 328.70 459.46
228.53 328.70 450.59
248.38 328.70 440.97
268.24 328.70 430.82
288.09 328.70 420.96
307.94 328.70 412.10
327.80 328.70 404.62
347.65 328.70 397.96
367.50 328.70 392.47
387.36 328.70 388.24
407.21 328.70 386.80
427.06 328.70 388.82
446.92 328.70 392.56
466.77 328.70 396.78
486.62 328.70 401.14
506.48 328.70 405.63
526.33 328.70 409.97
546.18 328.70 414.30
566.03 328.70 418.30
585.89 328.70 422.25
605.74 328.70 426.31
625.59 328.70 430.47
645.45 328.70 435.20
665.30 328.70 438.94
